english,filipino,kept_english
"Your account","Ang iyong account",false
"your account goes back to","babalik ang account mo sa",false
"Your account has been suspended. Please contact KTC customer service for assistance.","Na-suspend ang iyong account. Mangyaring i-contact ang KTC customer service para sa tulong.",false
"Your account is awaiting admin verification","Naghihintay ng admin verification ang iyong account",false
"Your accredited customers. Tap to search, open a customer's detail, or suspend / reinstate an account.","Ang iyong mga accredited na customer. I-tap para maghanap, buksan ang detalye ng customer, o i-suspend / i-reinstate ang isang account.",false
"Your job orders live here","Nandito ang iyong mga job order",false
"Your legal name was verified against your ID. To change it to","Na-verify ang legal mong pangalan base sa iyong ID. Para palitan ito ng",false
"Your note to KTC:","Iyong note sa KTC:",false
"Your number in this week's {line} line","Ang number mo sa {line} line ngayong linggo",false
"Your proof is with KTC for review","Nasa KTC ang iyong proof para i-review",false
"Your proof wasn’t accepted","Hindi tinanggap ang iyong proof",false
"Your queue of orders waiting for X-ray, sorted by line number, with the ""Now serving"" strip on top.","Ang queue mo ng mga order na naghihintay ng X-ray, naka-sort ayon sa line number, kasama ang ""Now serving"" strip sa itaas.",false
"Your reply to KTC (what did you update or clarify?)","Sagot mo sa KTC (ano ang in-update o nilinaw mo?)",false
"Your role doesn't have permission to file job orders on behalf of customers.","Walang permission ang iyong role para mag-file ng Job Order para sa mga customer.",false
"Your valid ID is on file — a KTC admin is verifying your account. Once approved, your held orders are sent to KTC automatically.","Nasa file na ang valid ID mo — vinveverify ng KTC admin ang account mo. Kapag aprubado na, automatic na ipapadala sa KTC ang held orders mo.",false
